host_id,host_name,host_since,is_superhost,response_rate,created_at
34,Ashley Thornton,26-06-2016,TRUE,96,15:54.0
35,John Kennedy,04-01-2024,TRUE,84,15:54.0
36,Taylor Perkins,03-08-2016,FALSE,84,15:54.0
37,Jeffrey Smith,05-07-2019,TRUE,75,15:54.0
38,Robert Sanders,16-03-2017,TRUE,92,15:54.0
39,Billy Harding,18-08-2019,TRUE,86,15:54.0
40,Roberto Rush,09-10-2017,FALSE,78,15:54.0
41,Kevin Montgomery,16-03-2023,FALSE,70,15:54.0
42,David Shepard,31-08-2017,FALSE,100,15:54.0
43,Monica Navarro,19-12-2020,FALSE,100,15:54.0
44,Helen Tran,26-04-2018,TRUE,79,15:54.0
45,Brian Lane,20-01-2022,FALSE,93,15:54.0
46,Melissa Lucero,31-01-2016,FALSE,84,15:54.0
47,Jeffrey Garcia,02-12-2017,TRUE,72,15:54.0
48,Keith Anderson,02-08-2016,TRUE,72,15:54.0
49,Ralph Gonzalez,01-08-2017,TRUE,84,15:54.0
50,Roy Hopkins,11-01-2016,TRUE,97,15:54.0
51,Emily Jimenez,04-06-2021,FALSE,96,15:54.0
52,Mr. James Nelson,31-07-2021,TRUE,98,15:54.0
53,Jennifer Ramirez,24-04-2024,FALSE,81,15:54.0
54,Toni Mayo,28-06-2017,FALSE,92,15:54.0
55,Taylor Smith,04-10-2016,FALSE,94,15:54.0
56,Caleb Bryan,17-10-2019,TRUE,88,15:54.0
57,Thomas Mcbride,10-10-2024,FALSE,73,15:54.0
58,Jeremy Rogers,29-04-2017,FALSE,71,15:54.0
59,Alex Payne,09-03-2019,FALSE,86,15:54.0
60,Rachel Smith,02-11-2018,TRUE,98,15:54.0
61,Dr. Kathy Miller MD,26-03-2019,TRUE,97,15:54.0
62,Natalie Humphrey,01-12-2023,FALSE,88,15:54.0
63,Jenny Reed,29-08-2018,FALSE,79,15:54.0
64,Jeremy Short,10-09-2016,FALSE,71,15:54.0
65,Cory Gordon,27-11-2016,FALSE,100,15:54.0
66,Tara Kelley,10-04-2016,FALSE,70,15:54.0
67,Jessica Kim,11-07-2019,FALSE,70,15:54.0
68,Roy Merritt,12-12-2016,FALSE,78,15:54.0
69,Stuart James,29-06-2019,FALSE,71,15:54.0
70,Claudia Salas,24-08-2024,FALSE,85,15:54.0
71,Jennifer Frank,22-08-2022,TRUE,95,15:54.0
72,Ryan Graham,04-05-2020,TRUE,76,15:54.0
73,Karen Taylor,19-09-2016,TRUE,99,15:54.0
74,Jorge Morales,01-09-2024,FALSE,84,15:54.0
75,Jason Flores,16-08-2021,TRUE,74,15:54.0
76,Karen Shah,07-07-2020,FALSE,87,15:54.0
77,Charles Barrett,12-09-2021,FALSE,70,15:54.0
78,Tina Henry,07-07-2023,TRUE,82,15:54.0
79,Evan Luna,02-06-2022,FALSE,87,15:54.0
80,Matthew Wall,08-10-2018,TRUE,91,15:54.0
81,Jenny Bryant,17-03-2020,TRUE,95,15:54.0
82,Vicki Ortiz,16-11-2017,FALSE,95,15:54.0
83,Brian Griffin,16-01-2020,FALSE,89,15:54.0
84,Ariana Lopez,23-08-2022,TRUE,84,15:54.0
85,Brian Miranda,25-10-2016,TRUE,96,15:54.0
86,Catherine Henry,11-07-2016,FALSE,77,15:54.0
87,Julie Martinez,08-11-2016,FALSE,82,15:54.0
88,Lance Munoz,17-11-2024,TRUE,76,15:54.0
89,Brian Dean,25-02-2022,TRUE,93,15:54.0
90,Kathy Bowman,06-01-2016,FALSE,94,15:54.0
91,Wendy Singh,18-12-2018,FALSE,70,15:54.0
92,Matthew Fitzpatrick,02-02-2019,FALSE,73,15:54.0
93,William Stein,19-01-2016,FALSE,98,15:54.0
94,Alicia Valenzuela,07-11-2023,TRUE,70,15:54.0
95,Belinda Moreno,07-11-2021,TRUE,84,15:54.0
96,Todd Hutchinson,23-07-2016,TRUE,85,15:54.0
97,Jason Hoover,25-05-2023,FALSE,78,15:54.0
98,Jesse Romero,14-11-2019,FALSE,90,15:54.0
99,Joyce Wright,26-02-2020,TRUE,93,15:54.0
100,Joel Dean,03-09-2021,FALSE,89,15:54.0
101,Brandon Olson,20-02-2017,FALSE,98,15:54.0
102,Sarah Zavala,29-08-2024,TRUE,98,15:54.0
103,Tabitha Foster,26-02-2017,TRUE,74,15:54.0
104,Christopher James,31-05-2018,FALSE,90,15:54.0
105,Nicholas Torres,06-12-2024,FALSE,94,15:54.0
106,Keith Rubio,07-01-2021,FALSE,76,15:54.0
107,Emily Gardner,24-06-2020,TRUE,97,15:54.0
108,Jacob Campbell,07-05-2016,FALSE,88,15:54.0
109,Janet Morrow,26-03-2019,FALSE,84,15:54.0
110,Nicole Compton,05-05-2018,FALSE,73,15:54.0
111,Brandi Martinez,30-04-2023,FALSE,77,15:54.0
112,Gregory Baker,16-08-2023,FALSE,86,15:54.0
113,Randall Jennings,31-01-2016,FALSE,92,15:54.0
114,Bethany Crawford,12-06-2020,FALSE,97,15:54.0
115,Patricia Dean,01-11-2024,FALSE,96,15:54.0
116,Kathleen Herrera,09-12-2024,TRUE,80,15:54.0
117,Regina Dixon,19-07-2021,TRUE,72,15:54.0
118,Janet Austin,07-02-2020,TRUE,77,15:54.0
119,Patrick Summers,28-12-2016,FALSE,86,15:54.0
120,Pam Elliott,16-01-2019,TRUE,72,15:54.0
121,Samantha Wolf,13-01-2017,FALSE,93,15:54.0
122,Claire Butler,16-10-2024,FALSE,80,15:54.0
123,Eric Johnson,19-08-2021,TRUE,99,15:54.0
124,Jason Martin,07-02-2023,FALSE,86,15:54.0
125,Andrew Willis,11-07-2018,FALSE,83,15:54.0
126,Alan Cardenas,20-09-2024,FALSE,96,15:54.0
127,Danielle Malone,19-07-2023,FALSE,80,15:54.0
128,Daniel Henry,29-11-2018,TRUE,72,15:54.0
129,Donald Carter,16-09-2023,FALSE,77,15:54.0
130,Jason Lee,26-06-2018,TRUE,98,15:54.0
131,Patrick Brooks,09-09-2018,FALSE,75,15:54.0
132,Michelle Ritter,19-10-2022,FALSE,88,15:54.0
133,Chase Jenkins,12-12-2020,TRUE,96,15:54.0
134,Jared Duncan,02-02-2023,TRUE,82,15:54.0
135,Sarah Ellis,31-01-2020,FALSE,93,15:54.0
136,Nicole Lopez,27-04-2022,FALSE,80,15:54.0
137,George Mccann,08-03-2022,FALSE,72,15:54.0
138,Sherry Jackson,26-11-2017,TRUE,82,15:54.0
139,Mary Anderson,24-03-2017,TRUE,79,15:54.0
140,William Turner,12-06-2020,FALSE,70,15:54.0
141,Nicole Schwartz,15-03-2022,TRUE,85,15:54.0
142,Kristin Jones,09-04-2022,FALSE,92,15:54.0
143,Hunter Perez,29-12-2020,TRUE,93,15:54.0
144,Emily Knight,04-12-2022,TRUE,94,15:54.0
145,Alan Vega,29-11-2024,FALSE,78,15:54.0
146,Eddie Kirby,04-01-2022,FALSE,84,15:54.0
147,Jasmine Jackson,17-11-2019,TRUE,88,15:54.0
148,Maria Trujillo,23-06-2024,FALSE,95,15:54.0
149,Heather Norman,06-08-2023,FALSE,78,15:54.0
150,Lori Mckinney,03-10-2022,TRUE,79,15:54.0
151,Michael Sanchez,07-05-2017,FALSE,89,15:54.0
152,John Reyes,18-05-2017,FALSE,100,15:54.0
153,Stephen Turner,13-07-2016,TRUE,72,15:54.0
154,Andrew Mcintosh,03-07-2018,FALSE,80,15:54.0
155,Matthew Holt,03-06-2018,FALSE,75,15:54.0
156,Jeffrey Clark,13-02-2016,TRUE,74,15:54.0
157,Diana Freeman,05-02-2018,FALSE,78,15:54.0
158,Donna Harrington,06-05-2021,TRUE,93,15:54.0
159,Jeffrey Gross,06-07-2016,TRUE,76,15:54.0
160,Pamela Perez,11-03-2023,FALSE,83,15:54.0
161,Jenna Henry,28-05-2020,TRUE,75,15:54.0
162,Michael Anderson,16-01-2021,TRUE,72,15:54.0
163,Breanna Bartlett,01-11-2019,FALSE,91,15:54.0
164,Barbara Mckinney,01-09-2019,TRUE,85,15:54.0
165,Thomas Larsen,18-09-2024,FALSE,84,15:54.0
166,Crystal Hernandez,27-12-2021,FALSE,83,15:54.0
167,Jessica Fischer,11-09-2021,FALSE,94,15:54.0
168,Duane Long,18-11-2016,TRUE,83,15:54.0
169,Travis Rodriguez,08-12-2022,TRUE,74,15:54.0
170,Richard Weiss,20-10-2016,TRUE,81,15:54.0
171,Dr. David Evans,07-12-2020,FALSE,82,15:54.0
172,Daniel Evans,02-06-2021,FALSE,89,15:54.0
173,Tracy Vasquez,10-01-2024,FALSE,100,15:54.0
174,Alejandro Shepherd,19-02-2022,TRUE,70,15:54.0
175,Joseph Powers,03-06-2020,FALSE,75,15:54.0
176,Lawrence Ortega,23-06-2022,FALSE,76,15:54.0
177,Nichole Byrd,30-01-2021,TRUE,74,15:54.0
178,Linda Keith,12-11-2021,TRUE,99,15:54.0
179,Kristen Black,18-01-2018,TRUE,96,15:54.0
180,John Sandoval,03-07-2020,TRUE,99,15:54.0
181,Autumn Wood,17-10-2019,TRUE,82,15:54.0
182,Julie Bass,22-05-2016,FALSE,85,15:54.0
183,Bob Boyd,26-12-2015,TRUE,78,15:54.0
184,William Wright,25-01-2018,FALSE,77,15:54.0
185,Beth Nguyen,27-01-2019,TRUE,72,15:54.0
186,Lauren Mueller,04-06-2024,TRUE,70,15:54.0
187,Regina Lee,03-12-2023,TRUE,99,15:54.0
188,Danielle Houston,13-08-2021,TRUE,80,15:54.0
189,Chris Ruiz,16-09-2024,TRUE,89,15:54.0
190,Rachel Ochoa,05-12-2017,FALSE,85,15:54.0
191,Jessica Lewis,05-03-2019,FALSE,77,15:54.0
192,Kristen Peterson,10-01-2022,FALSE,98,15:54.0
193,Alexander Rogers,03-06-2023,TRUE,94,15:54.0
194,Katrina Flores,28-07-2020,FALSE,81,15:54.0
195,William Jackson,02-06-2017,FALSE,84,15:54.0
196,Michael Spencer,30-09-2018,FALSE,100,15:54.0
197,Phillip Ross,05-09-2021,FALSE,71,15:54.0
198,Tracy Baird,09-03-2023,TRUE,94,15:54.0
199,Susan Armstrong,29-04-2019,FALSE,97,15:54.0
200,Bryan Cruz,01-10-2024,FALSE,83,15:54.0
